deg,seed,n,b_end,rootA,ratio,strict,loose
5,3,2018,0.5773392947943109,3.563829402490776,0.16199970020753685,0,0
5,4,2793,0.7131655301218023,1.379727478434318,0.51688869089647,0,0
5,4,3579,0.7515334498668392,1.379727478434318,0.544697022864009,0,0
5,4,2357,0.5407571859145273,1.379727478434318,0.3919304314560479,0,0
5,4,3370,2.063267556569544,1.379727478434318,1.495416731796116,0,0
5,5,7165,1.0258567314513516,1.2713714670962795,0.8068898492698866,0,0
5,5,92317,78.82086972869747,1.2713714670962795,61.99672697446848,0,1
5,5,53778,48.261405548922866,1.2713714670962795,37.96011378102454,0,1
5,5,92198,78.82115787644297,1.2713714670962795,61.996953617706076,1,1
5,5,56786,48.26159590263035,1.2713714670962795,37.96026350414827,0,1
5,5,58921,53.921264509062084,1.2713714670962795,42.41188818891331,1,1
5,5,50872,48.642502626149934,1.2713714670962795,38.259866518198564,1,1
5,5,57932,53.92058976077431,1.2713714670962795,42.4113574641761,0,1
6,1,1386,7.034783179163907,1.3139187774733512,5.354047221009889,0,0
6,1,104402,9.727942601823347,1.3139187774733512,7.403762522162942,0,0
6,1,3130,0.23284634276976438,1.3139187774733512,0.17721517247628113,0,0
6,1,1393,0.2464209518701591,1.3139187774733512,0.18754656383252502,0,0
6,2,2188,0.2793375730881737,3.824166693937326,0.07304534437032356,0,0
6,2,5628,3.308220996768311,3.824166693937326,0.8650828432800867,0,0
6,2,2370,5.252059630412904,3.824166693937326,1.373386688069665,0,0
6,2,3749,6.030796294472693,3.824166693937326,1.5770223364043376,0,0
6,3,3471,4.675687761714231,1.6434657792502805,2.8450168057939096,0,0
6,3,1878,2.8409479372895343,1.6434657792502805,1.7286322436147856,0,0
6,3,4870,6.901772959138486,1.6434657792502805,4.199523376925408,1,1
6,3,1754,3.330575316871683,1.6434657792502805,2.0265559276756173,0,0
6,4,1183,5.456029536781914,1.3815846562466263,3.949109822632512,0,0
6,4,997,1.205493601441413,1.3815846562466263,0.872544144139815,0,0
6,4,834,0.3760252297478706,1.3815846562466263,0.27216951784150856,0,0
6,4,1013,1.2054681081954604,1.3815846562466263,0.8725256919618486,0,0
6,4,977,0.41967361457590063,1.3815846562466263,0.30376250393228516,0,0
6,4,764,0.5063955041199671,1.3815846562466263,0.3665323741331205,0,0
6,4,1007,5.838310117048407,1.3815846562466263,4.225807004045224,1,0
6,4,2152,10.28662547867145,1.3815846562466263,7.445526723362211,0,0
6,5,841,0.20811438006678623,1.2882236032014671,0.16155144149632455,0,0
6,5,1069,0.2307328751531268,1.2882236032014671,0.17910933674846055,0,0
6,5,1131,9.209064051688378,1.2882236032014671,7.148653408307532,0,0
6,5,857,8.907285681973548,1.2882236032014671,6.914394100401004,0,0
